,ID,label,subset,resolution,duration,caption,url
10,WEohpavjsIY,Cumbia,training,1280x720,136.37,"[([0, 27.96], 'A pair of dancer begins preforming at the latin dance cup.'), ([27.27, 36.14], ' The woman shows off cleavage.'), ([40.23, 99.55], ' The dancers begin spinning around each other.'), ([98.87, 118.64], ' The dancers begin to preform seperately.'), ([120.69, 136.37], ' The dancers begins moving again together for a big finish.')]",https://www.youtube.com/watch?v=WEohpavjsIY
11,rhOtqArO-3Y,Slacklining,training,1920x1080,231.25,"[([0, 12.72], 'The video shows a canopy representing the Eastern Mountain Sports event.'), ([12.72, 37], ' Several players are getting ready for the sporting event in an outdoor setting on a bright sunny day.'), ([37, 76.31], ' There is a boy balancing on a tight rope.'), ([76.31, 137.59], ' There are several other contestants walking on the tight rope.'), ([137.59, 173.44], ' Several people watch the contestants perform.'), ([173.44, 150.31], ' Two people are playing with a Frisbee as one person walks on the rope.'), ([150.31, 172.28], ' A girl and boy try the tight rope together.'), ([172.28, 223.15], ' There are people enjoying themselves on a hammock.'), ([223.15, 231.25], ' The end credits thank the people and organizers of the event.')]",https://www.youtube.com/watch?v=rhOtqArO-3Y
12,xi4puZ1ulP4,Removing curlers,training,1280x720,226.21,"[([0, 18.1], 'A woman is seen with seen wearing a tanktop with introduction text.'), ([18.1, 73.52], ' The woman have hair tied back and applies eye make up to eyes using various brushes and colors.'), ([73.52, 104.06], ' The woman begins to puts eye liner on with a fine pencil.'), ([104.06, 149.3], ' The women takes cloth ties out of here hair and lets her hair down which is now curled.'), ([149.3, 202.46], ' The woman uses a comb and hairspray to straighten parts of here hair then ties it back.'), ([212.64, 226.21], ' Messages of tex are shown on the end of the video.')]",https://www.youtube.com/watch?v=xi4puZ1ulP4
13,M1-G6KEhY-M,Horseback riding,validation,1280x720,130.03,"[([0, 2.6], 'We see an opening title screen.'), ([2.6, 62.42], ' We then We a lady riding a horse on the beach talking to the camera.'), ([8.45, 57.86], ' We see a man riding behind the lady go in and out of the shot.'), ([60.46, 106.63], ' We switch to a different lady riding and talking.'), ([106.63, 126.13], ' We see four people on horses on the beach.'), ([126.13, 130.03], ' We then see the ending title screen.')]",https://www.youtube.com/watch?v=M1-G6KEhY-M
14,mQHY2uMOMP4,Getting a haircut,training,1280x720,115.47,"[([8.08, 15.01], 'The video instructor, Stephanie is talking about a hair tutorial.'), ([15.01, 25.98], ' She is demonstrating how to cut long hair on men.'), ([25.98, 41.57], ' Her model is seated in a chair next to her as she combs his wet hair.'), ([41.57, 86.03], "" She shows how the hair is parted and sectioned before cutting the hair She uses scissors to point cut the tips of the model's hair.""), ([86.03, 100.46], "" She continues the procedure on the model's hair.""), ([100.46, 110.85], ' She then explains how to blow dry the hair to get the finished look on the model.'), ([110.85, 115.47], ' She finally gives information about her website.')]",https://www.youtube.com/watch?v=mQHY2uMOMP4
15,a2vaM_aRHv4,Making a cake,training,1920x1080,177.26,"[([14.18, 17.73], 'A list of ingredients is shown written in a list.'), ([18.61, 20.39], ' Glass bowls are set on a counter with various ingredients for a dish.'), ([20.39, 52.29], ' A person measures and cuts parchment paper using a cooking tin as a guide.'), ([53.18, 99.27], ' The person measures ingredients in a glass bowl then adds them to an electric mixer to blend.'), ([100.15, 116.99], ' The person brushes on oil to the parchment paper then sets it into a cooking tin.'), ([120.54, 130.29], ' The tins are added to an oven to cook.'), ([123.2, 132.06], ' The tins are shown fully cooked and then flipped over to empty cake onto table.'), ([139.15, 144.47], ' The parchment paper is peeled off the cake.'), ([150.67, 160.42], ' The cake is sliced into loaves with a serrated knife.'), ([165.74, 170.17], ' The cake is seen on plates for serving.')]",https://www.youtube.com/watch?v=a2vaM_aRHv4
16,5DhbyYavYp4,Trimming branches or hedges,training,1920x1080,234.52,"[([12.9, 35.18], 'There is a garden with many trees and shrubs.'), ([35.18, 48.08], ' There is a man using a hedging and trimming equipment trimming the bushes.'), ([48.08, 87.95], ' Another man is giving instructions on lawn and garden care.'), ([87.95, 107.88], ' The man climbs up a tall ladder to trim the trees and bushes several times.'), ([107.88, 120.78], ' He goes around the entire side to trim the hedges.'), ([120.78, 143.06], ' The instructor continues talking about the gardening process, The man trims the hedges that form a barrier near a house.'), ([143.06, 170.03], ' The instructor explains the process again to the viewers.'), ([170.03, 175.89], ' The scene changes to a strange looking statue in a busy city and ends with a thank you for watching message.')]",https://www.youtube.com/watch?v=5DhbyYavYp4
17,aoIGBV31OT4,Windsurfing,validation,1920x1080,197.79,"[([0, 68.24], 'A man sails on a sailboard on front the mountains.'), ([68.24, 85.05], ' The man meets also a person sailing in the ocean.'), ([86.04, 93.95], ' The man falls from his sailboard, but he immediately gets up and continue sailing.'), ([101.86, 155.26], ' The man passes on front sailor when sailing in the sea.'), ([156.25, 197.79], ' Then, he meets several people sailing in the ocean.')]",https://www.youtube.com/watch?v=aoIGBV31OT4
18,M-n0vW3p2sE,Using parallel bars,validation,1920x1080,40.15,"[([0, 40.15], 'A crowd in the background watches gymnasts performing.'), ([0, 38.14], ' A gymnast runs across a floor, performing cartwheels and flips.'), ([0, 33.12], ' Another gymnast in an orange suit, jumps onto two bars and performs many flips.'), ([5.62, 8.23], ' A coach who was standing nearby removes a mini trampoline from under the bars.'), ([33.32, 37.94], ' The gymnast jumps off the bars and lands on his butt.'), ([38.14, 40.15], ' He stands up and raises his arms above his head.')]",https://www.youtube.com/watch?v=M-n0vW3p2sE
19,5iQsKA84vWo,Doing kickboxing,training,1280x720,155.64,"[([7.78, 20.23], 'There two women boxers competing in kickboxing against each other in a boxing event.'), ([20.23, 30.35], ' The referee is standing next to them.'), ([30.35, 38.91], ' There are several spectators watching the boxers compete.'), ([38.91, 50.58], ' After the referee gives a go, the contestants begin the match.'), ([50.58, 65.37], ' The crowd cheers for them as they compete.'), ([65.37, 84.05], ' The boxer in the black uniform punches the boxer in red and makes her fall down.'), ([84.05, 99.61], ' The boxer in red kicks her opponent.'), ([99.61, 112.84], ' The boxer in black strikes back at her opponent and the boxer in red punches her face.'), ([112.84, 116.73], ' The referee declares the boxer in black as the winner and crowd applauds her victory.')]",https://www.youtube.com/watch?v=5iQsKA84vWo
20,aFpWNTroghs,Spread mulch,training,1920x1080,93.16,"[([0, 20.49], 'An intro comes into the screen for a video about removing mulch.'), ([21.43, 44.25], ' A man digs his heel into the base of a tree to push away the mulch.'), ([44.25, 61.95], ' He gets down on his knees and begins to remove the mulch by hand by pushing it further from the base of the tree.'), ([62.42, 80.58], ' He takes out some clippers and clips some of the roots.'), ([80.58, 93.16], ' Last, the video ends with the closing captions.')]",https://www.youtube.com/watch?v=aFpWNTroghs
21,KaGGtAhiH64,Playing rubik cube,training,1280x720,213.11,"[([3.2, 213.11], 'A group of young men are seated at tables at a rubiks cube competition.'), ([3.2, 45.82], ' An official removes a slip of paper from a rubiks cube sitting in front of a young man at the end of a table after which the competitor solves the cube and celebrates by banging his hands on the table.'), ([47.95, 88.44], ' An official lifts a cup to reveal a rubiks cube that the same man then solves.'), ([58.61, 82.05], ' A young man wearing a beige shirt solves a cube and presses his hands to his face before standing up.'), ([89.51, 127.87], ' An official removes a piece of paper from on top of a cube as the young man in the black sweatshirt solves another cube.'), ([128.93, 209.92], ' The young man solves two more cubes in front of an official before moving to get up.')]",https://www.youtube.com/watch?v=KaGGtAhiH64
22,6uhLrPgbpUA,BMX,training,1280x720,46.16,"[([0, 5.08], 'Several bicycle racers dressed in motocross suits and wearing helmets are lined up at the start line, waiting to race.'), ([5.31, 8.77], ' The race begins, and all bikers race down a hill, toward a jump.'), ([8.77, 10.39], ' The bikers jump off a hill, but one of the bikers, dressed in red and black, tumbles to the ground.'), ([10.39, 11.77], ' The biker immediately behind him, dressed in red, white and blue, tries to avoid the fallen biker, and falls to the ground as well.'), ([11.77, 12.23], ' The other bikers race off.'), ([12.46, 15.69], ' The biker in black and red immediately trots off the track, while the biker in red, white and blue, is clearly injured and struggles to get to his knees.'), ([15.93, 25.62], ' Three men dressed in black jackets come to the aid of the first biker.')]",https://www.youtube.com/watch?v=6uhLrPgbpUA
23,IlD4gfHmWIg,Using the balance beam,training,1920x1080,93.69,"[([5.15, 11.71], 'A gymnast wearing a magenta leotard is performing on the horse bar.'), ([11.71, 43.1], ' There is a panel of judges sitting across from her and evaluating her.'), ([43.1, 66.52], ' She stands up straight on the bar and does a twist and pummel.'), ([66.52, 85.26], ' She continues to successfully do front flips on the horse bar.'), ([85.26, 90.41], ' She completes her round after she jumps off of the horse bar doing a back flip.'), ([90.41, 92.29], ' Then the gymnast walks away from the performing area.')]",https://www.youtube.com/watch?v=IlD4gfHmWIg
24,1FMjfLRpXwM,Braiding hair,training,1280x720,142.04,"[([10.65, 19.89], 'The lady in black is doing a hairstyle tutorial and demonstrating on another woman who is seated next to her.'), ([19.89, 27.7], ' She shows the hairspray that she has used on the model.'), ([27.7, 33.38], "" She uses the hairspray on the model's hair and sprays it.""), ([33.38, 46.87], ' She then takes a pair of scissors and cuts the rubber band off and spray her hair again.'), ([46.87, 55.39], ' She pulls her braid apart and rubs her fingers over it.'), ([55.39, 68.18], "" She then twists the braid and pins it up on the model's head.""), ([68.18, 78.83], ' She twists it again and tightens it up and secures it with a pin again.'), ([78.83, 105.11], ' She also makes a bun out of the braid to complete the hairstyle.'), ([105.11, 106.53], ' She shows the hairspray bottle again that she has used on the model.')]",https://www.youtube.com/watch?v=1FMjfLRpXwM
25,C0F-xroK_Eg,Preparing pasta,training,1280x720,205.36,"[([0, 205.36], 'A man is talking about making a spicy pasta dish.'), ([19.51, 36.96], ' The man takes sausage and cooks it in a pan.'), ([50.31, 56.47], ' Parsley is added to the sausage.'), ([68.79, 82.14], ' White wine is added to the mixture.'), ([87.28, 105.76], ' Heavy cream is added to the meat along with a jar of marinara sauce.'), ([124.24, 130.4], ' Water is shown boiling in the pot.'), ([131.43, 149.91], ' Pasta and sauce are mixed together in the pot.'), ([151.96, 205.36], ' The final pasta is added to a bowl and Parmesan cheese is added.')]",https://www.youtube.com/watch?v=C0F-xroK_Eg
26,sgwg1C3i-Vw,Canoeing,training,1920x1080,118.33,"[([0, 11.24], 'An introduction for a canoe sporting brand appears on the screen.'), ([11.24, 33.13], ' Several people are shown preparing to get their canoes into the water on a snowy day.'), ([33.13, 37.27], ' Several other people get off of a bus and head toward the water.'), ([33.13, 77.51], ' People are then shown doing several canoe an skiing training exercises.'), ([37.87, 115.96], ' Then, in the water, people are shown canoeing and having fun.'), ([115.37, 118.33], ' The video ends with the canoesport website displayed.')]",https://www.youtube.com/watch?v=sgwg1C3i-Vw
27,uJZFC7gHZGI,Getting a piercing,validation,1920x1080,121.23,"[([3.03, 4.24], 'A man fixes white glove on to his hands.'), ([4.85, 102.44], ' A lady knees on a chair with her chin on the headrest.'), ([7.88, 9.09], ' A guy views his phone.'), ([40.01, 41.83], ' The lady moves her hair from her face.'), ([44.86, 58.19], ' The man puts a metal on the lips of the lady.'), ([59.4, 64.25], ""  The man gets a needle and applies it to the lady's lip.""), ([64.25, 93.35], "" The man puts back the needle and adds a piercing ring on the lady's lip.""), ([93.95, 95.77], "" The man moves the metal of the lady's lip.""), ([101.23, 101.83], ' The lady nods her head.'), ([103.05, 121.23], 'The lady moves her chin from the headrest.'), ([110.32, 112.14], ' The guy puts his phone in his pocket.')]",https://www.youtube.com/watch?v=uJZFC7gHZGI
28,zPDbMflNURc,Waxing skis,validation,1920x1080,76.07,"[([0, 72.65], 'A man wearing a blue apron with the words ""ski wax vauhti"" is waxing climbing skins and the words on the screen say it\'s for better glide and to reduces snow buildup on sticky snow.'), ([0, 23.2], 'The man begins by applying a long purple piece of material onto the bottom of the ski.'), ([23.2, 28.91], 'The man then picks up a small container and words on the screen appear saying that it\'s ""vauhti violet glider"" and when he removes the content it looks like a purple bar of wax.'), ([28.91, 48.3], 'The man then picks up an iron and begins to melt some of the wax onto it by rubbing it on the hot iron, then onto the material on the ski and then back and forth to melting the wax and rubbing it onto the long piece of fabric on the ski.'), ([48.3, 71.12], ""The man then takes the iron straight to the fabric and begins to glide the iron over the material and the words on the screen indicate that it's to melt the wax into the skin using low temperature to avoid burning the skin.""), ([71.12, 76.07], 'The iron is put down and the focus goes to a close up shot of the purple material that just had wax melted onto it.')]",https://www.youtube.com/watch?v=zPDbMflNURc
29,srXhWAGzd-s,Hand car wash,training,1280x720,218.27,"[([5.46, 25.1], 'A person is shown cleaning off the outside of a car.'), ([89.49, 105.86], ' The car is then driven inside of a shop.'), ([106.95, 175.71], ' Inside a man starts detailing the car once again and cleaning off the outside.'), ([137.51, 156.06], ' He spray paints parts of the car.'), ([127.69, 210.63], ' He sprays cleaner on the inside and outside of the car.'), ([181.16, 210.63], ' He wipes down all surfaces from inside and outside the car.')]",https://www.youtube.com/watch?v=srXhWAGzd-s
30,ybcStSlBGPc,Carving jack-o-lanterns,training,1920x1080,235.34,"[([0, 4.71], 'A lighted jack-o-lantern comes into focus.'), ([4.71, 7.06], ' The jack-o-lantern moves towards the camera.'), ([7.06, 24.71], ' A young woman is talking very animatedly in front of a white wall.'), ([24.71, 35.3], ' The woman holds a small pumpkin in her hand while talking.'), ([35.3, 42.36], ' The woman holds up a piece of paper with some stickers on it.'), ([42.36, 48.24], "" The pumpkin is seen moving on it's own on a table with a black tablecloth.""), ([48.24, 49.42], ' The pumpkin spins around showing some cartoon faces.'), ([49.42, 55.3], ' An animation of a knife stabs the pumpkin and a cat runs back and forth next to the table.'), ([55.3, 62.36], ' The pumpkin is replaced with other objects one at a time, a knife, a spoon, a candle, etc.'), ([62.36, 76.48], ' The woman is wearing a sticker of a mustache on her face and draws on the small pumpkin with a black felt pen.'), ([76.48, 91.78], ' The woman holds a knife and begins carving the pumpkin along the lines she drew.'), ([91.78, 108.25], ' The woman scoops out the pumpkin seeds with a spoon and puts the seeds in a Halloween themed paper cup.'), ([108.25, 142.38], ' The woman continues carving the face of the pumpkin to turn it into a jack-o-lantern.'), ([142.38, 152.97], ' The woman cleans up the face of the jack-o-lantern with a towel and places the top with the stem back on.'), ([152.97, 174.15], ' The woman places the candle inside the jack-o-lantern.'), ([174.15, 175.32], ' The woman flicks on a disposable lighter.'), ([175.32, 182.38], "" The lighted jack-o-lantern is seen once again moving on it's own on the black table.""), ([182.38, 235.34], ' The video ends and shows a split screen with samples from three other videos the woman has made, with a ""Subscribe"" button in the middle.')]",https://www.youtube.com/watch?v=ybcStSlBGPc
31,k9VKFjPYT3o,Rock climbing,training,1280x720,160.31,"[([0, 19.24], 'A man in a blue coat is talking outside by a rock.'), ([20.04, 24.05], ' He is wearing a rock climbing harness.'), ([29.66, 64.93], ' He begins climbing up the rock.'), ([59.32, 75.35], ' He has a rope around his neck with different rock climbing tools.'), ([154.7, 156.3], ' He gives another person a high five.')]",https://www.youtube.com/watch?v=k9VKFjPYT3o
32,pULb9WvZwU4,Bungee jumping,training,1920x1080,118.21000000000001,"[([0, 10.05], 'Multiple men are loaded onto a crane boom bucket.'), ([8.27, 39.01], ' When three men are safely aboard, the crane begins to lift them up in the air slowly.'), ([35.46, 54.38], ' Once they reach the top of the crane, the view switches and they can be seen looking over the landscape.'), ([54.38, 79.2], ' The man that is preparing to bungee jump is at the edge of the boom looking around nervously.'), ([78.02, 118.21], ' One at a time the men jump out of the boom and hang above a small body of water.'), ([109.94, 118.21], ' There certificate of accomplishment ends the video.')]",https://www.youtube.com/watch?v=pULb9WvZwU4
33,KvscV2XxyTE,Using the balance beam,training,1920x1080,103.19,"[([0, 16.51], 'Gymnast Micah Ross mounts the balance beam before a celebrated audience as the crowd cheers and shouts her name.'), ([16.51, 29.93], ' Her routine begins with a flip, split, and summersault.'), ([32.5, 46.44], ' She then performs two backwards flips and a pirouette.'), ([58.3, 63.98], ' A forward flip and jump follows along with a sideways flip.'), ([64.49, 90.29], ' After briefly wobbling on the bar, Micah regains her composure and performs a forward summersault.'), ([91.32, 103.19], ' Ross successfully dismounts with a double flip to the applause of the audience.')]",https://www.youtube.com/watch?v=KvscV2XxyTE
34,R0sADQPdso8,Hula hoop,training,1920x1080,114.34,"[([0, 4], 'We see an opening title screen.'), ([4, 18.29], ' A lady speaks in front of a plaza.'), ([18.29, 80.61], ' the lady hula hoops in short shorts and a tight shirt in a plaza and we see a timer in the upper right corner periodically.'), ([80.61, 83.47], ' The timer reads The lady hula hoops for 2 minutes and seventeen seconds.'), ([84.04, 98.9], ' The lady speaks to the camera again.'), ([98.33, 114.34], ' We see the ending YouTube screen.')]",https://www.youtube.com/watch?v=R0sADQPdso8
35,3l7quTy4c2s,Cheerleading,training,1280x720,174.29,"[([0, 7.84], 'A cheerleader girl stands in the grass.'), ([4.36, 7.84], ' A young man wearing baseball hat greats her with a pie tin and jokes with her.'), ([7.84, 15.69], ' The man pushes a pie tin in the girls face as a joke getting her very messy.'), ([19.17, 25.27], ' A girl in gymnastics class does tumbling down a red mat with team looking on.'), ([27.89, 30.5], ' A woman cheerleader boxes with a mascot during a football game.'), ([29.63, 34.86], ' The mascot engulfs the girl and pulls her into his uniform.'), ([35.73, 40.96], ' A cheer leading group comes together in a circle holding hands and flip team members when one falls to the ground.'), ([41.83, 52.29], ' A group of cheerleaders in black to back flips on a track of football field.'), ([53.16, 66.23], ' A group of girls hoist up[ a teammate to do a human pyramid.'), ([67.1, 74.07], ' The teammate falls to the ground and lands on top of others.'), ([74.94, 79.3], ' A man in Hawaiian shirt sets up a trampoline during a basketball competition.'), ([79.3, 91.5], ' A group of cheerleaders hold up a woman together in front of the trampoline.'), ([91.5, 99.34], ' The man comes back running and jumps on the trampoline but knocks the girl over while performing his stunt.'), ([99.34, 107.19], ' A group of cheerleaders in red do somersaults on the field when one falls down.'), ([105.44, 108.93], ' A cheerleader girl in black does a back hand spring and falls to the ground.'), ([108.93, 112.42], ' A group of cheerleaders dance together with pom poms.'), ([113.29, 116.77], ' Another group of cheerleaders in the background lift up teammates when one falls over.'), ([117.65, 122], ' A group of cheerleaders in blue lift up teammates in competition when one falls to the ground.'), ([122.87, 127.23], ' A girl in white shirt talks to the camera.'), ([127.23, 129.85], ' the girl does a summersault but falls to the ground.'), ([129.85, 132.46], ' A girl in green shirt with friends does a high kick on a field but falls to the ground.'), ([132.46, 137.69], ' A cheerleader falls to the ground while dancing with group.'), ([137.69, 143.79], ' A cheerleader is lifted up into the hands of team when she falls to the ground.'), ([144.66, 149.02], ' A group of cheerleaders in yellow lift temmate in a pyramid but drop her.'), ([149.02, 155.12], ' A group of women jump from a trampoline and do slam dunks during basketball competition.'), ([156.86, 159.47], ' One girl misses the trampoline and runs into the mat.'), ([160.35, 174.29], ' Men from the basketball team rush over to check on her.')]",https://www.youtube.com/watch?v=3l7quTy4c2s
36,hjsu3SGAdLs,Playing piano,training,1920x1080,131.38,"[([25.62, 45.33], 'A man wearing a blue shirt is playing the piano in a yard.'), ([45.33, 52.55], ' There are two elephants standing behind him.'), ([52.55, 67.66], ' One of the elephant is trying to play the piano with his trunk.'), ([67.66, 93.28], ' The man continues to play the piano in a fast pace using various keys on the piano.'), ([93.28, 98.53], "" He gives a big finish with the tune and then pats the elephant's trunk."")]",https://www.youtube.com/watch?v=hjsu3SGAdLs
37,WBkqGBFsdgI,Shuffleboard,training,1280x720,121.23,"[([0, 23.03], 'An older blonde newswoman is reading a story.'), ([24.85, 43.64], ' Various pictures are shown of shuffleboard history.'), ([45.46, 49.7], ' An older man is interviewed for the camera.'), ([52.13, 107.9], ' Various clips of people playing shuffleboard are shown.'), ([107.9, 121.23], ' The older blonde reporter ends the news story.')]",https://www.youtube.com/watch?v=WBkqGBFsdgI
38,jmmOBfS3JIg,Polishing shoes,training,1280x720,105.07,"[([0, 3.68], 'A man in dress shirt taps his cloth on the spout of a glass container to get it damp.'), ([3.15, 13.66], ' The man uses his cloth wrapped around his index and middle finer to polish a shoe.'), ([13.66, 15.24], ' The man rubs his cloth in a shoe polish tin for more of the substance.'), ([15.24, 77.23], ' The man continues to polish the show around the toe of the shoe.'), ([78.8, 79.85], ' The man again rubs his cloth in the tin for more polish.'), ([80.38, 105.07], ' The man continues to polish the show around the toe of the shoe near the toe in a circular motion.')]",https://www.youtube.com/watch?v=jmmOBfS3JIg
39,fxlTN3mCWDA,Playing congas,training,1280x720,169.9,"[([22.94, 62.86], 'There are several passengers traveling in a subway train.'), ([62.86, 81.55], "" Two of the passengers are seated on folding chairs and they're playing drums on bongos.""), ([81.55, 94.3], ' They continue to play the bongos while the other passengers are busy doing their own thing.'), ([94.3, 160.56], ' One young boy who is seated near the players is watching them play.'), ([160.56, 167.35], ' The players continue playing the bongos and drumming on them.'), ([167.35, 169.9], ' After they stop playing, one person applauds them.')]",https://www.youtube.com/watch?v=fxlTN3mCWDA
40,SID0y9y6Uk4,Doing fencing,training,1280x720,140.18,"[([2.8, 11.21], 'Two men prepare for a fencing match.'), ([2.8, 133.87], ' The video shows several highlights of people fencing each other in various matches.'), ([12.62, 21.73], ' Some win the matches quite quickly.'), ([12.62, 115.65], ' Two men constantly go back and fourth towards each other.'), ([28.74, 84.81], ' The man wins over and over again.'), ([72.19, 84.81], ' He is shown practicing for his upcoming matches against another.'), ([6.31, 124.76], ' He seems to win over and over again.')]",https://www.youtube.com/watch?v=SID0y9y6Uk4
41,sFKOnFMJF2Q,Longboarding,training,1920x1080,119.32,"[([1.79, 31.02], 'A teen skateboards in a road, then he walks with a friend holding his skateboard, then they skateboard.'), ([25.65, 26.85], ' A car enters the street where the teen skateboard.'), ([31.62, 42.95], ' A youth wearing a pink t-shirt skateboard on the street.'), ([38.78, 41.76], ' The teen walks holding his skateboard.'), ([42.95, 83.52], ' Teens skateboard in the street making tricks and turn.'), ([83.52, 112.76], ' After, two teens walk in the street, and then they skateboard.')]",https://www.youtube.com/watch?v=sFKOnFMJF2Q
